Date,QV Index (Gross),QM Index (Gross),IQV Index (Gross),IQV Index (Net),IVAL_index,IQM Index (Gross),QV Index Net),QVAL_index,Year qval,month qval,qval,a,,,d,QM Index (Net),QMOM_index,IQM Index (Net),IMOM_index,AA L/S Index (Gross),AA L/S Index (Net),GVMT Index (Gross),GVMT Index (Net),VMOT_index,,vmot_ticker,vmot_ticker_return,vmot_index_minus_ticker,RAA BAL Index (Gross),RAA BAL Index (Net),RAA MOD Index (Gross),RAA MOD Index (Net),RAA AGG Index (Gross),RAA AGG Index (Net)
01/31/1974,0.0889073,-0.056711,,,1,,,1,,,,,,,,-0.0583777,1,,1,,,,,1,,,,,,,,,,
02/28/1974,0.0161647,0.0305461,,,1,,0.014498,1.014498,,,,,,,1.014498,0.0288794,1.0288794,,1,,,,,1,,,,,,,,,,
03/31/1974,-0.0056936,-0.053543,,,1,,-0.0073603,1.0070309904,,,,,,,0.9926397,-0.0552097,0.972075277,,1,,,,,1,,,,,,,,,,
04/30/1974,-0.034582,-0.052882,,,1,,-0.0362487,0.9705274261,,,,,,,0.9637513,-0.0545487,0.9190498343,,1,,,,,1,,,,,,,,,,
05/31/1974,-0.026135,-0.0841706,,,1,,-0.0278017,0.9435451138,,,,,,,0.9721983,-0.0858373,0.840161078,,1,,,,,1,,,,,,,,,,
06/30/1974,-0.033756,-0.008017,,,1,,-0.0354227,0.9101221983,,,,,,,0.9645773,-0.0096837,0.8320252102,,1,,,,,1,,,,,,,,,,
07/31/1974,-0.024194,-0.010678,,,1,,-0.0258607,0.8865858011,,,,,,,0.9741393,-0.0123447,0.8217541085,,1,,,,,1,,,,,,,,,,
08/31/1974,-0.062072,-0.048213,,,1,,-0.0637387,0.8300759747,,,,,,,0.9362613,-0.0498797,0.7807652601,,1,,,,,1,,,,,,,,,,
09/30/1974,-0.0855977,-0.0830994,,,1,,-0.0872644,0.7576398928,,,,,,,0.9127356,-0.0847661,0.714582834,,1,,,,,1,,,,,,,,,,
10/31/1974,0.112686,0.203748,,,1,,0.111019,0.8417523161,,,,,,,1.111019,0.202082,0.8589871623,,1,,,,,1,,,,,,,,,,
11/30/1974,-0.032395,-0.013325,,,1,,-0.0340617,0.8130808012,,,,,,,0.9659383,-0.0149917,0.8461094844,,1,,,,,1,,,,,,,,,,
12/31/1974,-0.017527,-0.042138,,,1,,-0.0191937,0.7974747723,,,,,,,0.9808063,-0.0438047,0.8090459123,,1,,,,,1,,,,,,,,,,
01/31/1975,0.255174,0.117414,,,1,,0.253507,0.9996402094,,,,,,,1.253507,0.115748,0.9026913586,,1,,,,,1,,,,,,,,,,
02/28/1975,0.0182256,0.0719968,,,1,,0.0165589,1.0161931516,,,,,,,1.0165589,0.0703301,0.9661777321,,1,,,,,1,,,,,,,,,,
03/31/1975,0.0834938,0.0806169,,,1,,0.0818271,1.0993452903,,,,,,,1.0818271,0.0789502,1.0424576573,,1,,,,,1,,,,,,,,,,
04/30/1975,0.0612188,0.0656796,,,1,,0.0595521,1.1648136109,,,,,,,1.0595521,0.0640129,1.109188395,,1,,,,,1,,,,,,,,,,
05/31/1975,0.0814472,0.0324779,,,1,,0.0797805,1.2577430232,,,,,,,1.0797805,0.0308112,1.1433638205,,1,,,,,1,,,,,,,,,,
06/30/1975,0.0686945,0.0716651,,,1,,0.0670278,1.342046771,,,,,,,1.0670278,0.0699984,1.2233974586,,1,,,,,1,,,,,,,,,,
07/31/1975,-0.022618,-0.035578,,,1,,-0.0242847,1.3094555678,,,,,,,0.9757153,-0.0372447,1.1778323872,,1,,,,,1,,,,,,,,,,
08/31/1975,-0.0055628,-0.028947,,,1,,-0.0072295,1.2999888588,,,,,,,0.9927705,-0.0306137,1.1417745799,,1,,,,,1,,,,,,,,,,
09/30/1975,-0.016458,-0.025183,,,1,,-0.0181247,1.2764269507,,,,,,,0.9818753,-0.0268497,1.1111182749,,1,,,,,1,,,,,,,,,,
10/31/1975,-0.007991,0.0244735,,,1,,-0.0096577,1.2640996021,,,,,,,0.9903423,0.0228068,1.1364593272,,1,,,,,1,,,,,,,,,,
11/30/1975,0.0424344,0.0210507,,,1,,0.0407677,1.3156340355,,,,,,,1.0407677,0.019384,1.1584884548,,1,,,,,1,,,,,,,,,,
12/31/1975,-0.018499,-0.02403,,,1,,-0.0201657,1.2891033542,,,,,,,0.9798343,-0.0256967,1.1287191245,,1,,,,,1,,,,,,,,,,
01/31/1976,0.188155,0.175272,,,1,,0.186488,1.5295056605,,,,,,,1.186488,0.173605,1.3246704082,,1,,,,,1,,,,,,,,,,
02/29/1976,0.0531029,0.0509116,,,1,,0.0514362,1.6081776196,,,,,,,1.0514362,0.0492449,1.3899036699,,1,,,,,1,,,,,,,,,,
03/31/1976,0.0423151,-0.0012102,,,1,,0.0406484,1.6735474667,,,,,,,1.0406484,-0.0028769,1.3859050561,,1,,,,,1,,,,,,,,,,
04/30/1976,-0.005473,-0.016756,,,1,,-0.0071397,1.6615988399,,,,,,,0.9928603,-0.0184227,1.360372943,,1,,,,,1,,,,,,,,,,
05/31/1976,0.018786,-0.030419,,,1,,0.0171193,1.6900442489,,,,,,,1.0171193,-0.0320857,1.3167244249,,1,,,,,1,,,,,,,,,,
06/30/1976,0.0424359,0.0556313,,,1,,0.0407692,1.7589460009,,,,,,,1.0407692,0.0539646,1.3877809318,,1,,,,,1,,,,,,,,,,
07/31/1976,0.0008527,-0.019839,,,1,,-0.000814,1.7575142189,,,,,,,0.999186,-0.0215057,1.3579357314,,1,,,,,1,,,,,,,,,,
08/31/1976,-0.0062358,-0.013716,,,1,,-0.0079025,1.7436254628,,,,,,,0.9920975,-0.0153827,1.3370470134,,1,,,,,1,,,,,,,,,,
09/30/1976,0.0195463,0.0160849,,,1,,0.0178796,1.7748007886,,,,,,,1.0178796,0.0144182,1.3563248246,,1,,,,,1,,,,,,,,,,
10/31/1976,-0.0009051,-0.035019,,,1,,-0.0025718,1.7702363559,,,,,,,0.9974282,-0.0366857,1.306567099,,1,,,,,1,,,,,,,,,,
11/30/1976,0.0185301,0.0359994,,,1,,0.0168634,1.8000885597,,,,,,,1.0168634,0.0343327,1.3514250753,,1,,,,,1,,,,,,,,,,
12/31/1976,0.0879606,0.0730307,,,1,,0.0862939,1.9554252218,,,,,,,1.0862939,0.071364,1.4478681743,,1,,,,,1,,,,,,,,,,
01/31/1977,-0.026385,0.0185756,,,1,,-0.0280517,1.9005722201,,,,,,,0.9719483,0.0169089,1.4723500325,,1,,,,,1,,,,,,,,,,
02/28/1977,0.0041772,-0.022282,,,1,,0.0025105,1.9053436067,,,,,,,1.0025105,-0.0239487,1.4370891633,,1,,,,,1,,,,,,,,,,
