Date,Adj Close,Close
12/31/1971,100,100
01/31/1972,100,98.65
02/29/1972,101.74,100.37
03/31/1972,101.42,99.63
04/30/1972,105.31,102.85
05/31/1972,95.44,92.83
06/30/1972,104.96,101.75
07/31/1972,111.05,106.36
08/31/1972,109.56,104.81
09/30/1972,113.78,108.16
10/31/1972,111.15,104.77
11/30/1972,109.7,103.07
12/31/1972,108.01,101.08
01/31/1973,109.64,101.59
02/28/1973,103.59,95.87
03/31/1973,106.05,97.42
04/30/1973,101.07,92.03
05/31/1973,98.21,89.33
06/30/1973,100.3,90.58
07/31/1973,103.82,92.83
08/31/1973,98.97,88.34
09/30/1973,105.39,93.28
10/31/1973,106.35,93.26
11/30/1973,91.46,80.14
12/31/1973,91.25,79.07
01/31/1974,95.43,81.66
02/28/1974,99.53,85.03
03/31/1974,97.36,82.31
04/30/1974,92.02,76.94
05/31/1974,85.56,71.5
06/30/1974,86.89,71.7
07/31/1974,80.25,65.2
08/31/1974,74.2,60.24
09/30/1974,73.84,59.24
10/31/1974,77.01,60.86
11/30/1974,72.89,57.56
12/31/1974,71.72,55.88
01/31/1975,81.82,62.89
02/28/1975,83.81,64.33
03/31/1975,86.17,65.47
04/30/1975,88.54,66.65
05/31/1975,87.33,65.61
06/30/1975,92.78,68.93
07/31/1975,91.37,67.03
08/31/1975,89.97,65.97
09/30/1975,84.3,61.06
10/31/1975,82.23,58.92
11/30/1975,83.62,59.87
12/31/1975,85.56,60.54
01/31/1976,97.27,68.07
02/29/1976,102.06,71.39
03/31/1976,102.49,70.96
04/30/1976,104.39,71.73
05/31/1976,101.46,69.68
06/30/1976,105.51,71.69
07/31/1976,108.17,72.75
08/31/1976,112.16,75.38
09/30/1976,113.29,75.33
10/31/1976,114.6,75.71
11/30/1976,118.41,78.11
12/31/1976,126.28,82.46
01/31/1977,133.62,86.59
02/28/1977,134.95,87.31
03/31/1977,135.84,87.01
04/30/1977,137.62,87.71
05/31/1977,138.09,87.88
06/30/1977,144,90.77
07/31/1977,144.33,90.36
08/31/1977,144.57,90.4
09/30/1977,145.28,89.96
10/31/1977,145.25,89.39
11/30/1977,151.73,93.24
12/31/1977,154.59,93.98
01/31/1978,151.05,91.23
02/28/1978,153.22,92.23
03/31/1978,160.5,96.14
04/30/1978,165.84,98.25
05/31/1978,160.88,95.14
06/30/1978,159.68,94.01
07/31/1978,164.98,95.92
08/31/1978,172.15,99.77
09/30/1978,172.19,98.95
10/31/1978,159.2,90.7
11/30/1978,164.42,93.44
12/31/1978,170.57,96.48
01/31/1979,177.23,98.97
02/28/1979,180.89,100.55
03/31/1979,193.95,107.31
04/30/1979,195.45,106.88
05/31/1979,193.61,105.66
06/30/1979,211.42,114.88
07/31/1979,220.54,118.45
08/31/1979,248.33,132.96
09/30/1979,242.65,128.75
10/31/1979,216.81,114.08
11/30/1979,224.41,117.8
12/31/1979,231.73,121.07
01/31/1980,249.11,128.5
02/29/1980,252.08,129.53
03/31/1980,221.44,113.06
04/30/1980,220.76,111.78
05/31/1980,232.01,103.77
06/30/1980,248.21,110.36
07/31/1980,267.55,117.68
08/31/1980,275.66,120.79
09/30/1980,271.15,118.08
10/31/1980,298.85,129.08
11/30/1980,292.93,126.2
12/31/1980,288.2,123.42
01/31/1981,294.13,124.62
02/28/1981,296.76,125.04
03/31/1981,304.26,127.64
04/30/1981,308.81,128.38
05/31/1981,307.65,127.49
06/30/1981,314.81,129.8
07/31/1981,312.44,127.52
08/31/1981,300.53,122.04
09/30/1981,281.13,113.43
10/31/1981,295.35,117.97
11/30/1981,306.33,121.88
12/31/1981,305.5,120.92
01/31/1982,304.3,119.01
02/28/1982,298.69,116.09
03/31/1982,294.22,113.78
04/30/1982,302.49,115.51
05/31/1982,302.43,115.18
06/30/1982,291.02,110.26
07/31/1982,292.31,109.25
08/31/1982,303.04,112.68
09/30/1982,316.98,117.19
10/31/1982,349.07,127.62
11/30/1982,362.09,132.08
12/31/1982,371.49,134.81
01/31/1983,386.38,138.17
02/28/1983,383.91,136.62
03/31/1983,420.06,148.91
04/30/1983,446.92,156.89
05/31/1983,452.62,158.49
06/30/1983,460.65,160.52
07/31/1983,449.52,155.25
08/31/1983,448.24,154.17
09/30/1983,443.02,151.85
10/31/1983,457.83,154.88
11/30/1983,467.42,157.72
12/31/1983,485.3,163.13
01/31/1984,503.27,167.38
02/29/1984,506.44,167.76
03/31/1984,506.8,167.37
04/30/1984,513.96,168.05
05/31/1984,503.75,164.01
06/30/1984,503.74,163.51
07/31/1984,495.22,158.98
08/31/1984,515.92,164.74
09/30/1984,552.43,170.76
10/31/1984,563.97,172.58
11/30/1984,575.34,175.49
12/31/1984,586.86,178.3
01/31/1985,615.51,183.78
02/28/1985,632.34,187.7
03/31/1985,642.3,189.46
04/30/1985,648.36,189.71
05/31/1985,668.47,195.24
06/30/1985,682.14,197.91
07/31/1985,695.28,200.1
08/31/1985,678.26,194.42
09/30/1985,664.51,189.28
10/31/1985,683.23,193
11/30/1985,680.24,191.97
12/31/1985,698.93,195.45
01/31/1986,729.88,202.6
02/28/1986,744.9,205.61
03/31/1986,794.53,217.94
04/30/1986,793.19,216.28
05/31/1986,779.74,211.36
06/30/1986,819.64,220.75
07/31/1986,815.35,218.3
08/31/1986,842.41,224.37
09/30/1986,835.48,220.86
10/31/1986,854.28,224.46
11/30/1986,848.27,222.09
