Date,Adj Close,Close
12/31/1969,35.2,35.2
1/30/1970,34.99,34.99
2/27/1970,35.02,35.02
3/31/1970,35.3,35.3
4/30/1970,35.85,35.85
5/29/1970,35.45,35.45
6/30/1970,35.49,35.49
7/31/1970,35.3,35.3
8/31/1970,35.8,35.8
9/30/1970,36.4,36.4
10/30/1970,37.25,37.25
11/30/1970,37.54,37.54
12/31/1970,37.38,37.38
1/29/1971,38.05,38.05
2/26/1971,38.8,38.8
3/31/1971,38.88,38.88
4/30/1971,39.7,39.7
5/31/1971,40.84,40.84
6/30/1971,40.1,40.1
7/30/1971,42.4,42.4
8/31/1971,40.65,40.65
9/30/1971,42.6,42.6
10/29/1971,42.34,42.34
11/30/1971,43.6,43.6
12/31/1971,43.55,43.55
1/31/1972,47.15,47.15
2/29/1972,48.2,48.2
3/31/1972,48.38,48.38
4/28/1972,49.6,49.6
5/31/1972,59.45,59.45
6/30/1972,64.65,64.65
7/31/1972,68.3,68.3
8/31/1972,66.88,66.88
9/29/1972,64.2,64.2
10/31/1972,64.39,64.39
11/30/1972,63.6,63.6
12/29/1972,64.9,64.9
1/31/1973,66,66
2/28/1973,85,85
3/30/1973,90,90
4/30/1973,90.72,90.72
5/31/1973,114.75,114.75
6/29/1973,123.25,123.25
7/31/1973,115.6,115.6
8/31/1973,103.5,103.5
9/28/1973,100,100
10/31/1973,98,98
11/30/1973,101,101
12/31/1973,112.25,112.25
1/31/1974,132.5,132.5
2/28/1974,162.5,162.5
3/29/1974,173,173
4/30/1974,169.25,169.25
5/31/1974,156.75,156.75
6/28/1974,144.25,144.25
7/31/1974,156,156
8/30/1974,156,156
9/30/1974,151.25,151.25
10/31/1974,167,167
11/29/1974,184,184
12/31/1974,186.5,186.5
1/31/1975,175.8,175.8
2/28/1975,181.75,181.75
3/31/1975,177.25,177.25
4/30/1975,167,167
5/30/1975,167,167
6/30/1975,166.25,166.25
7/31/1975,166.7,166.7
8/29/1975,159.8,159.8
9/30/1975,141.25,141.25
10/31/1975,142.9,142.9
11/28/1975,138.15,138.15
12/31/1975,140.25,140.25
1/30/1976,128.15,128.15
2/27/1976,132.3,132.3
3/31/1976,129.6,129.6
4/30/1976,128.4,128.4
5/31/1976,125.5,125.5
6/30/1976,123.8,123.8
7/30/1976,112.5,112.5
8/31/1976,104,104
9/30/1976,116,116
10/29/1976,123.15,123.15
11/30/1976,130.25,130.25
12/31/1976,134.5,134.5
1/31/1977,132.3,132.3
2/28/1977,142.75,142.75
3/31/1977,148.9,148.9
4/29/1977,147.25,147.25
5/31/1977,142.95,142.95
6/30/1977,143,143
7/29/1977,144.1,144.1
8/31/1977,146,146
9/30/1977,154.05,154.05
10/31/1977,161.5,161.5
11/30/1977,160.05,160.05
12/30/1977,164.95,164.95
1/31/1978,175.75,175.75
2/28/1978,182.25,182.25
3/31/1978,181.6,181.6
4/28/1978,170.85,170.85
5/31/1978,184.15,184.15
6/30/1978,183.05,183.05
7/31/1978,200.25,200.25
8/31/1978,208.7,208.7
9/29/1978,217.1,217.1
10/31/1978,242.6,242.6
11/30/1978,193.4,193.4
12/29/1978,226,226
1/31/1979,233.7,233.7
2/28/1979,251.3,251.3
3/30/1979,240.1,240.1
4/30/1979,245.3,245.3
5/31/1979,274.6,274.6
6/29/1979,277.5,277.5
7/31/1979,296.45,296.45
8/31/1979,315.1,315.1
9/28/1979,397.25,397.25
10/31/1979,382,382
11/30/1979,415.65,415.65
12/31/1979,512,512
1/31/1980,653,653
2/29/1980,637,637
3/31/1980,494.5,494.5
4/30/1980,518,518
5/30/1980,535.5,535.5
6/30/1980,653.5,653.5
7/31/1980,614.25,614.25
8/29/1980,631.25,631.25
