Date,Adj Close,Close
12/31/1971,100.00,100.00
01/31/1972,101.24,100.87
02/29/1972,101.76,101.39
03/31/1972,100.15,98.61
04/30/1972,100.52,98.51
05/31/1972,101.88,99.71
06/30/1972,98.43,95.16
07/31/1972,99.83,96.04
08/31/1972,98.09,94.19
09/30/1972,100.70,95.44
10/31/1972,106.28,100.23
11/30/1972,110.14,103.69
12/31/1972,112.17,104.34
01/31/1973,112.39,104.01
02/28/1973,103.95,96.02
03/31/1973,106.42,97.05
04/30/1973,99.44,90.21
05/31/1973,96.92,87.59
06/30/1973,96.64,86.04
07/31/1973,97.22,86.02
08/31/1973,90.23,79.64
09/30/1973,97.80,85.17
10/31/1973,97.28,84.02
11/30/1973,82.35,70.90
12/31/1973,71.50,60.47
01/31/1974,74.74,62.50
02/28/1974,78.34,65.30
03/31/1974,73.71,60.34
04/30/1974,63.72,51.51
05/31/1974,58.38,46.92
06/30/1974,52.10,40.85
07/31/1974,52.83,40.80
08/31/1974,41.32,31.72
09/30/1974,43.73,32.67
10/31/1974,50.00,36.83
11/30/1974,43.72,32.08
12/31/1974,39.09,27.84
01/31/1975,54.10,38.20
02/28/1975,49.51,34.87
03/31/1975,55.59,38.39
04/30/1975,52.06,35.66
05/31/1975,52.11,35.58
06/30/1975,55.71,37.28
07/31/1975,56.97,37.82
08/31/1975,55.95,37.06
09/30/1975,52.29,33.89
10/31/1975,51.28,32.95
11/30/1975,50.29,32.29
12/31/1975,55.04,34.66
01/31/1976,61.75,38.60
02/29/1976,66.62,41.42
03/31/1976,64.62,39.75
04/30/1976,63.57,38.84
05/31/1976,62.72,38.09
06/30/1976,64.43,38.68
07/31/1976,67.24,40.12
08/31/1976,69.01,40.99
09/30/1976,73.21,42.92
10/31/1976,73.11,42.60
11/30/1976,76.82,44.57
12/31/1976,83.50,47.97
01/31/1977,82.75,47.27
02/28/1977,83.23,47.40
03/31/1977,83.75,47.11
04/30/1977,86.72,48.56
05/31/1977,85.12,47.46
06/30/1977,88.82,48.92
07/31/1977,94.34,51.70
08/31/1977,95.67,52.23
09/30/1977,92.51,49.87
10/31/1977,91.74,49.19
11/30/1977,100.43,53.62
12/31/1977,98.38,51.89
01/31/1978,94.52,49.64
02/28/1978,94.74,49.46
03/31/1978,96.68,50.11
04/30/1978,98.76,50.70
05/31/1978,96.81,49.40
06/30/1978,96.85,49.04
07/31/1978,99.16,49.71
08/31/1978,102.74,51.19
09/30/1978,103.01,50.96
10/31/1978,91.43,44.70
11/30/1978,90.01,43.68
12/31/1978,88.57,42.62
01/31/1979,98.82,47.02
02/28/1979,97.46,46.02
03/31/1979,100.94,47.31
04/30/1979,102.48,47.48
05/31/1979,101.59,46.67
06/30/1979,109.28,49.85
07/31/1979,109.59,49.42
08/31/1979,117.47,52.55
09/30/1979,111.85,49.68
10/31/1979,98.52,43.14
11/30/1979,105.21,45.61
12/31/1979,103.24,44.44
01/31/1980,109.39,46.42
02/29/1980,101.92,42.75
03/31/1980,89.97,37.41
04/30/1980,105.44,43.30
05/31/1980,114.80,46.73
06/30/1980,121.89,49.31
07/31/1980,127.30,50.95
08/31/1980,126.70,50.15
09/30/1980,124.08,48.74
10/31/1980,127.41,49.28
11/30/1980,124.67,47.86
12/31/1980,120.58,45.90
01/31/1981,122.81,46.23
02/28/1981,122.69,45.58
03/31/1981,125.39,46.28
04/30/1981,126.78,46.23
05/31/1981,124.97,45.06
06/30/1981,130.01,46.53
07/31/1981,127.94,45.26
08/31/1981,123.28,43.09
09/30/1981,119.49,41.41
10/31/1981,125.06,42.81
11/30/1981,134.03,45.36
12/31/1981,129.11,43.36
01/31/1982,129.43,42.88
02/28/1982,125.94,41.35
03/31/1982,129.02,42.06
04/30/1982,136.02,43.60
05/31/1982,134.35,42.69
06/30/1982,129.74,40.90
07/31/1982,133.65,41.49
08/31/1982,152.01,46.67
09/30/1982,156.94,47.87
10/31/1982,179.46,53.98
11/30/1982,190.28,56.78
12/31/1982,191.91,56.91
01/31/1983,199.59,58.51
02/28/1983,203.11,59.03
03/31/1983,217.92,62.95
04/30/1983,227.08,64.94
05/31/1983,228.28,64.76
06/30/1983,222.52,62.74
07/31/1983,218.47,60.95
08/31/1983,214.77,59.41
09/30/1983,220.44,60.59
10/31/1983,223.80,60.85
11/30/1983,225.30,60.73
12/31/1983,224.34,60.08
01/31/1984,227.80,60.33
02/29/1984,219.06,57.49
03/31/1984,219.57,57.13
04/30/1984,219.90,56.56
05/31/1984,209.63,53.44
06/30/1984,207.51,52.45
07/31/1984,207.93,51.90
08/31/1984,217.20,53.71
09/30/1984,224.99,55.18
10/31/1984,234.88,56.94
11/30/1984,237.54,57.07
12/31/1984,240.64,57.35
01/31/1985,251.14,59.21
02/28/1985,253.20,59.08
03/31/1985,244.70,56.71
04/30/1985,244.29,56.11
05/31/1985,252.39,57.31
06/30/1985,261.84,59.11
07/31/1985,262.81,58.82
08/31/1985,235.24,51.92
09/30/1985,228.80,50.22
10/31/1985,234.45,50.95
11/30/1985,229.68,49.17
12/31/1985,228.11,48.55
01/31/1986,238.17,50.39
02/28/1986,250.55,52.44
03/31/1986,243.29,50.71
04/30/1986,247.00,50.96
05/31/1986,248.67,50.67
06/30/1986,253.97,51.56
07/31/1986,256.42,51.54
08/31/1986,268.41,53.36
09/30/1986,257.85,51.05
10/31/1986,271.12,53.17
